filename,dataset,type,score_r_mean,score_r_std,score_r_median,score_l_mean,score_l_std,score_l_median
croatia_custom_algo_gpt-4_1_clean.txt,croatia,clean,0.42210641503334045,0.16518226265907288,0.39440327882766724,0.35072118043899536,0.11918877810239792,0.34327107667922974
croatia_custom_algo_gpt-4o-mini_clean.txt,croatia,clean,0.468941330909729,0.16885440051555634,0.4448724389076233,0.36086705327033997,0.11980723589658737,0.3609916567802429
croatia_custom_algo_gpt-5-nano_clean.txt,croatia,clean,0.4493248760700226,0.17153163254261017,0.426194429397583,0.3292374908924103,0.12287624925374985,0.31128108501434326
croatia_custom_algo_gpt-5_clean.txt,croatia,clean,0.4696058928966522,0.1771516352891922,0.442291259765625,0.32320502400398254,0.12341420352458954,0.3229220509529114
japan_custom_algo_gpt-4_1_clean.txt,japan,clean,0.43442022800445557,0.14951221644878387,0.42650407552719116,0.3540113568305969,0.10741233080625534,0.35256561636924744
japan_custom_algo_gpt-4o-mini_clean.txt,japan,clean,0.48663702607154846,0.1514233648777008,0.48219043016433716,0.3637257516384125,0.10740801692008972,0.35430264472961426
japan_custom_algo_gpt-5-nano-clean.txt,japan,clean,0.5061822533607483,0.15193524956703186,0.4999266266822815,0.3549291491508484,0.12214329093694687,0.35066962242126465
japan_custom_algo_gpt-5_clean.txt,japan,clean,0.48972955346107483,0.1625276803970337,0.47643494606018066,0.33203721046447754,0.11208502948284149,0.3312675952911377
croatia_custom_algo_gpt-4_1_full.txt,croatia,full,0.41570913791656494,0.16795635223388672,0.39208823442459106,0.33861395716667175,0.11463063210248947,0.3371414244174957
croatia_custom_algo_gpt-4o-mini_full.txt,croatia,full,0.46234649419784546,0.1689838171005249,0.44165435433387756,0.3527810573577881,0.11711335927248001,0.3510095179080963
croatia_custom_algo_gpt-5-nano_full.txt,croatia,full,0.4465503990650177,0.17146998643875122,0.4217175245285034,0.31946802139282227,0.1113455668091774,0.3111969232559204
croatia_custom_algo_gpt-5_full.txt,croatia,full,0.46059682965278625,0.1782967746257782,0.4364771246910095,0.31924331188201904,0.11973118036985397,0.32545435428619385
japan_custom_algo_gpt-4_1_full.txt,japan,full,0.43173423409461975,0.15259286761283875,0.42455190420150757,0.3478039801120758,0.10019881278276443,0.34690797328948975
japan_custom_algo_gpt-4o-mini_full.txt,japan,full,0.4868854582309723,0.15545335412025452,0.48042112588882446,0.3622068762779236,0.1025053933262825,0.35145169496536255
japan_custom_algo_gpt-5-nano-full.txt,japan,full,0.50559002161026,0.15200364589691162,0.49859341979026794,0.35955488681793213,0.12167626619338989,0.35785818099975586
japan_custom_algo_gpt-5_full.txt,japan,full,0.4883919954299927,0.16051359474658966,0.47736167907714844,0.33409973978996277,0.11190526187419891,0.33205148577690125
